ID,School,State,City,First,Last,Phone ,Tution ,
1023,Affordable Truck Driver Training,AL,Moulton,Wanda,Null,256-974-4120,"$96,700.00",
1024,American Truck Driving Academy,AL,Phenix City,Dee,Newsom,334-298-9194,"$66,400.00",
1025,Bevill State CC,AL,Sumiton,,Null,205-648-3271,"$60,800.00",
1026,Bishop State Community College,AL,Chatom,Steve,Neal,251-656-3263,"$69,800.00",
1027,Bishop State,AL,Mobile,Brad,Wallace,251-660-1733,"$71,200.00",
1028,Calhoun Community College,AL,Tanner,Donna,Bass,256-260-2462,"$68,500.00",
1029,Central AL. Community College,AL,Childersburg,Phyllis,Null,256-378-2017,"$68,000.00",
1030,Central AL. Community College,AL,Alexander City,Phyllis,Null,256-378-2017,"$68,100.00",
1031,CDL Southern Training LLC,AL,Madison,Kevin,Null,256-426-4962,"$63,000.00",
1032,ESD,AL,Bessemer,Jack,Garrison,205-426-8486,"$69,600.00",
1033,E.S.D. Truck Driving School (C-1),AL,Decatur AL,Charles,Null,1-866-432-0430,"$63,500.00",
1034,Gadsden State Community College,AL,Gadsden,Charles,Null,,"$56,200.00",
1035,Marshal Technical College,AL,Guntersville,Vanessa,Null,1-256-582-8294,"$56,100.00",
1036,Reid State Technical College,AL,Evergreen,Gerald,Steege,251-578-1313,"$67,000.00",
1037,Shelton State C. C.,AL,Tuscaloosa,Rachel,Null,1-205-391-2442,"$64,000.00",
1038,Southern States Truck Driving School,AL,Cottonwood,Josh,Sewell,334-691-0700,"$63,800.00",
1039,Southern Union Community College,AL,Opelika,Mike,Kiser,334-742-2977,"$65,800.00",
1040,TDI,AL,Oxford,Sherry,Hart,615-895-2070,"$55,100.00",
1041,Trenholm State Technical,AL,Montgomery,Kent,Null,334-420-4411,"$65,300.00",
1042,Virginia College,AL,Birmingham,Christopher,Whelpley,205-802-1200,"$62,600.00",
1043,Wallace State Community College,AL,Hanceville,Ben,Null,256-352-8114,"$56,800.00",
1044,Arkansas State University - Newport,AR,Newport,Bobby,Forrester,870-512-7888,"$70,200.00",
1045,Crowleys Ridge Technical Institute,AR,Forrest City,Franklin,Waits,870-633-5411,"$65,400.00",
1046,Diesel Driving Academy,AR,Little Rock,Jason,Phillips,501-945-0964,"$49,600.00",
1047,Driver Solutions - C1,AR,Little Rock,Matt,Carroll,317-791-2901,"$62,700.00",
1048,Mid-America Truck Driver Training,AR,Jones Mill,Doug,Carter,501-844-4496,"$63,800.00",
1049,Pine Bluff Truck Driving,AR,Pine Bluff,Benita,Null,800-954-4981,"$58,700.00",
1050,University of Arkansas- Fort Smith,AR,Fort Smith,Roy,Duncan,479-788-7000,"$63,500.00",
1051,Florida State College,FL,Jacksonville,David,Null,904-779-4200,"$85,200.00",
1052,J-Tech,FL,Jacksonville,James,Sterrett,904-328-5600,"$59,500.00",
1053,Mid - Florida Tech,FL,Orlando,Ted,Price,407-354-4761,"$59,500.00",
1054,National Training Inc,FL,Orange Park,Iwa,Sizemore,904-272-4000 ext 231,"$53,900.00",
1055,NBI Truck Driver Training,FL,Winterhaven,Sherry,Sapp,863-294-1112,"$61,300.00",
1056,Pinellas Techincal Education Centers (PTEG),FL,St Petersburg,Laura,Kingsland,727-893-2500 ext 2553,"$62,800.00",
1057,Sage / Indian River State College,FL,Ft Peirce,Tim,Bond,866-832-7243,"$56,700.00",
1058,South Florida State College,FL,Avon Park,Marty,Hegwood,863-381-2715,"$64,700.00",
