State,Abbreviation,Income,TotArea,LandArea,WaterArea,Density,2022 Pop., FY19GDPQ2,FY20GDPQ1,FY20GDPQ2,Name,Party,Date assumed office
Alabama,AL,"$69,842 ","52,420","50,645","1,775",98,"4,949,697","47,101.93","47,704.78","43,557.83",Kay Ivey,Republican,4/10/2017
Alaska,AK,"$98,606 ","665,384","570,641","94,743",1,"720,763","76,425.70","74,432.68","64,266.98",Mike Dunleavy,Republican,12/3/2018
Arizona,AZ,"$80,779 ","113,990","113,594",396,67,"7,640,796","57,400.49","59,054.27","54,777.84",Doug Ducey,Republican,1/5/2015
Arkansas,AR,"$66,557 ","53,179","52,035","1,143",58,"3,042,017","44,744.47","45,206.35","41,432.03",Asa Hutchinson,Republican,1/13/2015
California,CA,"$106,916 ","163,696","155,779","7,916",255,"39,664,128","83,727.31","85,620.51","77,657.63",Gavin Newsom,Democratic,7/11/1905
Colorado,CO,"$96,970 ","104,094","103,642",452,58,"5,961,083","77,589.80","79,543.77","72,577.94",Jared Polis,Democratic,7/11/1905
Connecticut,CT,"$113,031 ","5,543","4,842",701,732,"3,546,588","80,201.07","80,682.79","73,503.41",Ned Lamont,Democratic,7/11/1905
Delaware,DE,"$90,092 ","2,489","1,949",540,512,"998,619","85,668.55","84,954.13","79,750.29",John C. Carney Jr.,Democratic,1/17/2017
Florida,FL,"$80,286 ","65,758","53,625","12,133",414,"22,177,997","58,436.31","59,643.02","54,606.64",Ron DeSantis,Republican,1/8/2019
Georgia,GA,"$82,406 ","59,425","57,513","1,912",190,"10,936,299","64,289.50","65,170.13","59,945.55",Brian Kemp,Republican,1/14/2019
Hawaii,HI,"$103,780 ","10,932","6,423","4,509",218,"1,401,709","69,919.01","70,105.29","61,331.28",David Ige,Democratic,12/1/2014
Idaho,ID,"$73,810 ","83,569","82,643",926,23,"1,896,652","52,871.43","54,756.37","49,365.26",Brad Little,Republican,7/11/1905
Illinois,IL,"$92,395 ","57,914","55,519","2,395",225,"12,518,071","68,620.57","68,932.46","62,926.25",J.B. Pritzker,Democratic,7/11/1905
Indiana,IN,"$75,025 ","36,420","35,826",593,191,"6,842,385","58,275.01","58,900.92","53,060.41",Eric Holcomb,Republican,1/9/2017
Iowa,IA,"$78,411 ","56,273","55,857",416,57,"3,174,426","61,882.33","62,686.46","57,114.78",Kim Reynolds,Republican,5/24/2017
Kansas,KS,"$80,009 ","82,278","81,759",520,36,"2,919,179","61,673.47","62,358.90","56,592.23",Laura Kelly,Democratic,1/14/2019
Kentucky,KY,"$70,144 ","40,408","39,486",921,114,"4,487,233","49,381.49","49,910.57","44,678.82",Andy Beshear,Democratic,12/10/2019
Louisiana,LA,"$71,001 ","52,378","43,204","9,174",107,"4,616,106","56,405.74","55,361.92","49,439.89",John Bel Edwards,Democratic,1/11/2016
Maine,ME,"$76,227 ","35,380","30,843","4,537",44,"1,359,677","50,478.30","51,431.20","46,294.87",Janet T. Mills,Democratic,1/2/2019
