title,mediaType,eps,duration,startYr,finishYr,description,contentWarn,watched,watching,rating,votes,studio_primary,studios_colab,genre
Dragon Ball Z Movie 15: Resurrection 'F',Movie,1,67,2015,2015,"Even the complete obliteration of his physical form can’t stop the galaxy’s most evil overlord. After years in spiritual purgatory, Frieza has been resurrected and plans to take his revenge on the Z-Fighters of Earth. Facing off against Frieza’s powerful new form, and his army of 1,000 soldiers, Goku and Vegeta must reach new levels of strength in order to protect Earth from their vengeful nemesis.",No,4649,86,3.979,3100,Toei Animation,No,Other
Kuripuri*Kuripura,Movie,1,5,2008,2008,,No,10,0,2.12,10,Others,No,Other
GJ-bu@,TV Special,1,46,2014,2014,"The story is set during the spring vacation immediately after Mao and the others graduate. As the season turns and sakura flowers bloom, Kyōya is once again suddenly stuffed into a bag. When he is let out of the bag, Kyoya looks around and sees New York — except the room looks exactly like the GJ Club's room.",No,1630,16,3.758,1103,Others,No,Other
Nausicaa of the Valley of the Wind,Movie,1,67,1984,1984,"One thousand years after the Giant Warriors caused an apocalyptic event known as the seven days of fire, humans are living in constant fear of the Toxic Jungle. This ever-spreading forest is filled with poisonous plants and gigantic monstrous insects; even the very air is deadly. Nausicaa is the kind and wise princess of a small, peaceful country known as the Valley of the Wind, which has so far avoided the spread of the forest. One night a large airship containing one of the Giant Warriors crashes into the valley. The following day soldiers from the powerful nation of Tolmekia invade the Valley of the Wind to reclaim and revive the warrior. As the only one who truly believes that there is a way for humans to live alongside the insects, Nausicaa must find a way to stop the war that now threatens her people and protect the Toxic Jungle before the Tolmekians burn it to the ground.",No,4649,184,4.444,3100,Others,No,Drama
Miru Tights Special,DVD Special,1,4,2019,2019,"Yua is asked to model an illustrator's designs as a costume for a photo collection the illustrator is producing. Concerned for Yua, Ren offers to accompany Yua to the photoshoot, and Homi somehow ends up rehearsing the photoshoot with Ren and Yua as models.",No,346,8,2.494,234,Others,No,Other
Da Capo Second Season,TV,26,5,2005,2005,"Hatsune-Jima, a city once known for their everlasting Cherry Blossom Tree, is devastated after the tree’s destruction. In this city lives Junichi, a local Hatsune-Jime student who is struggling through school after Nemu left him to attend university. Things change for Junichi on one stormy night when a mysterious girl named Aisia arrives at his doorstep, looking for a master magician who can teach her the trade. As Aisia uncovers more about the past of Hatsune-Jima, will the past tragedy repeat itself once more?",No,4649,187,3.52,3100,Others,No,Other
WWF 100% Renewable Energy,Web,1,3,2012,2012,This film was made for the campaign for using renewable energy completely in the future was sponsored by WWF JAPAN against the last nuclear power plant disaster occured in Japan. Let's go on a tour for finding out about the renewable energy with a cute panda!,No,20,1,1.875,10,Others,No,Other
Tayo the Little Bus,TV,26,11,2010,2010,"Tayo the Little Bus is about exciting adventures that are to happen in the metropolitan city where different vehicles live with harmony with one another. Tayo is just starting to learn his route in this busy city centre and on his journey, he is making many new friends. Full of unique characters that capture children's imaginations and fun storylines, the series has a lot to offer.",No,19,0,1.938,14,Others,No,Other
Ai no Kusabi,OVA,2,50,1992,1994,"On the planet Amoi, a great society has developed, creating a computerized city called Tanagura, ruled by supercomputer Jupiter. The populace is almost entirely male and is based on hair color; silver and/or blonds are the elitist, ending with dark/black haired as the bottom of society, often known as ""mongrels"". Blondies keep ""pets"", young boys kept for a few years, especially made for performing sexual actions for the Blondie's voyeurism entertainment. Blondies aren't suppose to keep pets for long or interact sexually with pets, but one blondie named Iason Mink has kept a pet named Rikki, for years and is rumored to sleep with him. Iason refuses to let go of Rikki, even with Jupiter's disapproval. Rikki fights with his emotions and society problems, unable to decide what to do about his old friend/lover Gai and their gang.",Yes,4155,100,3.34,2633,Others,No,Other
Is It Wrong to Try to Pick Up Girls in a Dungeon?,TV,13,6,2015,2015,"Is It Wrong to Try and Pick Up Girls in a Dungeon? is set in the world of Orario, where adventurers band together and look for treasures in an underground labyrinth known as Dungeon. However, for Bell Cranel, fame and riches are secondary to what he wants to find the most: girls. He soon finds out though, that anything can happen in Dungeon, and winds up being the damsel in distress instead!",No,4649,199,4.28,3100,J.C. Staff,No,Other
Spring has come!,Web,1,1,2016,2016,Spring fairy came along with the cherry blossoms.,No,26,0,1.351,15,Others,No,Other
Cool Cool Bye,OVA,1,45.5,1986,1986,"Lek and Flene are two ever-hungry warriors of the Han tribe who are on a special mission. All of the women of a village are being kidnapped by the evil Tanguin, and it's up to them to put a stop to the foe and rescue the ladies. Alongside their furry friend Gege, two warriors from the village and a very special lady named Kuree, the duo heads to battle Tanguin and save the day!",No,122,1,1.87,79,Others,No,Adventure
REBORN! Special,Web,1,26,2010,2010,"All Tsuna wanted was to go on a regular school trip with Kyoko, but with Reborn as the organizer, nothing can be ordinary! Now on a two-day adventure across Japan filled with castle climbing and flying buses, will Tsuna and his friends survive the Vongola-style trip?!",No,3476,32,3.994,2007,Others,No,Other
The iDOLM@STER: 765 Pro to Iu Monogatari,TV Special,1,25,2012,2012,,No,1147,19,3.804,758,A-1 Pictures,No,Other
Greek Roman Sinhwa Olympus Guardian Movie,Movie,1,67,2005,2005,,No,19,2,2.941,12,Others,No,Adventure
The Adventures of the Little Prince,TV,34,18,1978,1979,"The Little Prince lives on the distant asteroid B-612. There he cleans his volcanoes and cares for his magical rose. One day, a space bird visits his tiny planet and shows him how he can hitch rides on passing comets and visit far off galaxies. Meeting new friends at every stop, the Little Prince travels across the universe and learns valuable lessons about honesty, bravery, and kindness.",No,104,9,3.353,66,Others,No,Adventure
Graduation,OVA,2,25,1995,1995,"It is nearing the end of the school year, and the senior students at Seika Girls High School are preparing to take place in a time-honored tradition -- graduation. Though many students are choosing to study or wind down the year slowly, close friends Shizuka, Mika, Kiyomi, Reiko and Mami would prefer to have one last adventure together: to make a last minute graduation trip to the hot springs. Though friendships may come or go during their lives, at the moment, only one thing matters -- each other!",No,177,1,2.385,89,Others,No,Other
School Rumble,TV,26,5,2004,2005,"Tenma Tsukamoto is young, bright, and smitten with the school hottie Oji Karasuma. She's desperate for his attention, which is unfortunate considering he barely gives her the time of day! Throw Kenji Harima, the school delinquent with a crush on Tenma into the mix and you've got one twisted love triangle of unrequited proportions! Can love find the trio happiness before their attention-grabbing stunts end up hurting more than their egos?",No,4649,199,4.145,3100,Others,No,Other
Hua Jiang Hu: Zhi Bu Liang Ren 2nd Season,Web,34,4,2016,2017,Second season of Hua Jiang Hu: Zhi Bu Liang Ren.,No,29,15,3.201,18,Others,No,Other
Baka and Test - Summon the Beasts 2: Magical Hideyoshi Hideyoshi,DVD Special,1,3,2011,2011,,No,1201,19,3.452,643,Others,No,Other
Oshiri Tantei: Puputto Fumutto Kaiketsu Dance,Web,1,2,2017,2017,,No,25,1,1.349,14,Toei Animation,No,Other
"Sengoku Basara: Samurai Kings - Clash in the Inland Sea of Seto! Fugaku, the Great Fire-Belching Fortress of the Sea!",DVD Special,1,24,2010,2010,"During the march to war against the Demon Lord: When Keiji visits Chosokabe and Mori to persuade them to join the alliance, Oda’s minions arrive to issue a very serious threat.",Yes,1723,17,3.836,1032,Production I.G,No,Other
Natsuiro Kiseki,TV,12,8,2012,2012,"Natsumi, Saki, Yuka, and Ringo are best friends. They've grown up in an old agricultural town, experiencing everything together, both happy and sad. But one summer, they are visited by a miracle.",No,1649,199,3.345,1494,Sunrise,No,Other
pair*,Music Video,1,5,2011,2011,,No,84,1,2.138,58,Others,No,Other
Vampire Hunter D,Movie,1,67,1985,1985,"Thousands of years in the future, the world is overrun by demons and vampire lords. Doris, a young girl, has become the target of the great vampire lord Count Magnus Lee, who wants her as his plaything. After being bitten by the Count, she seeks the help of D, an elite vampire hunter, who decides he must venture out to slay the Count and his demon underlings to save this girl in despair.",Yes,4649,120,3.761,3100,Others,No,Other
Persona 4 The Animation,TV,25,5,2011,2012,"The normally sleepy town of Inaba has recently fallen prey to a string of bizarre deaths, where the deceased are discovered dangling from TV antennae and telephone poles. But that’s not the only mystery that’s cropped up lately: the ""Midnight Channel"" has gained notoriety in the local high school for allegedly revealing a person's soul-mate to them. When transfer student Yu arrives in town, he quickly becomes enmeshed in the center of all these mysterious goings-on, especially after the teen and his friends are pulled through the television into another world! How is this strange place connected with the other mysteries plaguing Inaba?",No,4649,199,4.05,3100,Others,No,Other
Honpo Fullkawa: Skirt,Music Video,1,6,2013,2013,,No,35,0,2.123,24,Others,No,Other
One Piece Film: Gold,Movie,1,67,2016,2016,"The glittering Gran Tesoro, a city of entertainment beyond the laws of the government, is a sanctuary for the world’s most infamous pirates, Marines, and filthy rich millionaires. Drawn by dreams of hitting the jackpot, Captain Luffy and his crew sail straight for the gold. But behind the gilded curtains lies a powerful king whose deep pockets and deeper ambitions spell disaster for the Straw Hats and the New World alike.",No,4649,199,4.332,3100,Toei Animation,No,Other
Mobile Suit SD Gundam Mk III,OVA,5,4,1989,1989,,No,904,12,2.55,408,Sunrise,No,Other
Pokemon Sun & Moon Planetarium,Other,1,29,2017,2017,,No,131,9,2.976,58,Others,No,Other
Kyouryuu Tankentai Born Free,TV,25,16,1976,1977,,No,23,3,2.222,16,Others,No,Sci Fi
Cyborg 009: Call of Justice - Movie 1,Movie,1,20,2016,2016,"Years after taking up normal lives incognito, the cyborgs are forced to fight again when the superhuman Blessed appear with a plan for humanity.",No,301,9,3.334,200,Others,Yes,Other
Zero-sen Hayato,TV,34,15,1967,1970,,No,15,2,2.28,11,Others,No,Other
Gangsta.,TV,12,5,2015,2015,"In the city of Ergastulum, a shady ville filled with made men and petty thieves, whores on the make and cops on the take, there are some deeds too dirty for even its jaded inhabitants to touch. Enter the ""Handymen,"" Nic and Worick, who take care of the jobs no one else will handle. Until the day when a cop they know on the force requests their help in taking down a new gang muscling in on the territory of a top Mafia family. It seems like business (and mayhem) as usual, but the Handymen are about to find that this job is a lot more than they bargained for.",Yes,4649,199,4.08,3100,Others,No,Other
Noragami: Noraneko,Other,1,1,2014,2014,,No,443,22,2.52,228,Others,No,Comedy
Saint Young Men OVA,OVA,2,21,2012,2013,"Jesus and Buddha take a vacation from Heaven, and decide to rent an apartment together in Japan. Their new landlady is highly suspicious of her new ""foreign"" tenants since bizarre things seem to happen whenever they are around. Animals flock to them, trees randomly burst into fruit, and strange rumors are floating around that one of them walks on water and the other has a glowing halo. Can these two saintly men peacefully enjoy their holiday undetected, or will their holy hijinx blow their cover?",No,2269,188,3.929,1765,A-1 Pictures,No,Other
Pikotarou no Lullaby Lu-llaby,TV,9,3,2017,2017,"Starring Pikotarou, the stage name of Japanese comedian Kazuhito ""Daimaou"" Kosaka. He will tell each story in the style of a fairy tale and voice every character, including himself.",No,201,23,1.954,172,Others,No,Other
Mei and the Baby Cat Bus,Movie,1,14,2001,2001,"Mei is eating a caramel on one very windy day, when suddenly a whirlwind appears and starts chasing her. The whirlwind turns out to be a baby cat bus. Mei offers the kitten a caramel and the two become friends. That night, the baby cat bus visits Mei. Letting Mei ride inside him, he leaps out into the sky. They head for the midnight forest full of ghosts. Other cat buses large and small have also gathered together. In the forest, Mei encounters...",No,1569,30,3.867,982,Others,No,Other
Miss Monochrome: Watashi dake no Monogatari,Music Video,1,4,2014,2014,,No,241,4,2.206,145,Others,No,Other
Maho-Yome,Other,25,1,2017,2018,,No,472,95,3.516,341,Others,Yes,Other
Million Arthur,TV,10,6,2018,2018,"The legendary sword “Excalibur” weighs and measures all. Anyone it deems worthy of gaining tremendous power does so,and inherits the name “Arthur”. However, Excalibur dubs generously. With an overabundance of “worthy” dignitaries, six Arthurs travel to England to defeat the corrupt leadership that plagues their country and the world.",No,404,164,2.391,351,J.C. Staff,No,Other
Sailor Moon S Memorial,OVA,1,67,1999,1999,"With the defeat of the Dark Moon clan, the future Crystal Tokyo is safe once again. As Usagi and Mamoru bid a sad farewell to their daughter from the future, Chibiusa, Rei senses a new danger lurking in the shadows. Along with the new monsters, the Sailor Senshi face two newcomers wearing similar Sailor Senshi outfits! Are they friend or foe? Will the two groups manage to put aside their differences to work together, or will the approaching silence destroy them all?",No,988,9,3.763,412,Toei Animation,No,Other
My Wife is the Student Council President+!,TV,12,8,2016,2016,"The secret romantic relationship between Hayato Izumi and Ui Wakana has become more ""exciting"" with Honoka Saijou, chair of the photography club, starting stalking Wakana for possible scoops.",Yes,4021,199,3.303,2879,Others,No,Other
Dancougar: Requiem for Victims,OVA,1,25,1986,1986,The Dancouga team prepares for its final showdown with their arch-enemy Zorbados. The team has to travel to the strange dimension of the alien invaders to once and for all save the earth. Fighting on the home-grounds of the enemy will take all their strength and cunning. The Dancouga will have to fight its way to the strange alien red dimension before it can start its final assault and assure the safety of mankind forever.,No,243,2,2.818,120,Others,No,Other
siroPd: Period,Music Video,1,4,2014,2014,,No,25,0,1.916,13,Others,No,Other
Otohime Connection,OVA,1,45,1991,1991,"Yuuki is a curious high school girl. She worked part-time in the TV-station in order to find something interesting. During her work, she met Nagisa and Michio, who were private detectives. She couldn't forger about them and decided to follow them.",No,20,0,3.198,12,Production I.G,No,Based on a Manga
World Conquest Zvezda Plot: Shin Zvezda Daisakusen,DVD Special,1,18,2014,2014,,No,844,14,3.237,579,A-1 Pictures,No,Sci Fi
Charlotte,TV,13,5,2015,2015,"Very few adolescent boys and girls have an onset of special abilities. Yuu Otosaka is one such man who uses his ability unbeknownst to others in order to lead a satisfying school life. Then one day, a girl named Nao Tomori suddenly appears before him. Their encounter reveals the destiny for wielders of special abilities.",No,4649,199,4.225,3100,Others,No,Other
Crazy Little Thing,TV Special,1,11,2014,2014,"The two of them, all alone at home. All alone with her father's corpse. Memories, ideals, and reality all sink beneath the muck. Everyone is alone. Everyone is in solitude.",Yes,45,0,2.69,25,Others,No,Other
Interlude,OVA,3,40,2004,2004,"In Japan, there is a disturbing rumor being spread that people's shadows are ripping from their bodies, never to be seen again. For one young man, the frightening nature of this rumor is just beginning to manifest in the form of a nightmarish world that he can't seem to escape from. In this place full of dark minions and demons, he and his friends fight futilely against unknown enemies, only to be brought back to the ""real world"" as quickly as they left it. Is this real, or a dream? Only one person holds the key to destroying and saving the world as he knows it...",Yes,1732,77,3.065,1234,Toei Animation,No,Other
