Action,Time,ISIN,Ticker,Name,No. of shares,Price / share,Currency (Price / share),Exchange rate,Result (EUR),Total (EUR),Withholding Tax
Market buy,24/04/2020 19:37,US0231351067,AMZN,Amazon,0.4,2410.88,USD,1.08081,,892.2,
Market buy,24/04/2020 19:38,US92556H2067,VIAC,ViacomCBS,60,15.71,USD,1.08084,,872,
Market buy,24/04/2020 19:49,US65249B2088,NWS,News Corp Class B,80,9.08,USD,1.08114,,671.7,
Market buy,05/05/2020 19:52,US88339J1051,TTD,Trade Desk,30,30.47,USD,1.08473,,842.5,
Market buy,05/05/2020 19:54,US67066G1040,NVDA,Nvidia,14,73.625,USD,1.08462,,950.3,
Market buy,05/05/2020 19:57,US9311421039,WMT,Walmart,6,124.85,USD,1.08488,,690.4,
Limit buy,15/05/2020 19:51,US70614W1009,PTON,Peloton Interactive,20,48.3,USD,1.08132,,893.3,
Market buy,22/05/2020 14:15,IL0011582033,FVRR,Fiverr International,12.5,60.9,USD,1.08988,,698.4,
Market buy,22/05/2020 14:19,US70614W1009,PTON,Peloton Interactive,5,44.97,USD,1.08974,,206.3,
Market buy,22/05/2020 14:30,US98936J1016,ZEN,Zendesk,10,81.18,USD,1.08976,,744.9,
Market buy,22/05/2020 14:32,US60770K1079,MRNA,Moderna,10,68.74,USD,1.09023,,630.5,
Market buy,22/05/2020 14:48,US02209S1033,MO,Altria Group,20,37.33,USD,1.08992,,684.9,
Market buy,22/05/2020 15:31,CA82509L1076,SHOP,Shopify,1.3,819.89,USD,1.08953,,978.2,
Stop limit buy,26/05/2020 19:50,US70451A1043,PAYS,Paysign,100,7.33,USD,1.09825,,667.4,
Market buy,27/05/2020 16:11,US0231351067,AMZN,Amazon,1,2388.15,USD,1.09795,,2170.5,
Market buy,29/05/2020 19:50,US9311421039,WMT,Walmart,4,123.31,USD,1.10918,,444.6,
Market buy,03/06/2020 18:45,US8621211007,STOR,STORE Capital,32,22.95,USD,1.12331,,653.8,
Market buy,03/06/2020 18:52,US90184L1026,TWTR,Twitter,25,34.51,USD,1.12336,,768,
Market buy,05/06/2020 15:46,US5801351017,MCD,McDonald's,4.5,198.94,USD,1.13044,,791.9,
Stop limit buy,05/06/2020 18:36,US98980F1049,ZI,ZoomInfo,20,38.03,USD,1.12922,,673.6,
Market buy,08/06/2020 14:57,US6541101050,NKLA,Nikola Corporation,17,61.33,USD,1.12976,,922.9,
Market sell,08/06/2020 15:02,US6541101050,NKLA,Nikola Corporation,8,54.5,USD,1.13019,-4.85,385.8,-0.01
Market buy,08/06/2020 15:41,US6541101050,NKLA,Nikola Corporation,9,51.25,USD,1.12992,,408.2,
Market buy,08/06/2020 16:00,US70614W1009,PTON,Peloton Interactive,5,43.26,USD,1.12883,,191.6,
Market buy,12/06/2020 18:04,US46625H1005,JPM,JPMorgan Chase,10,98.07,USD,1.12254,,873.6,
Market buy,12/06/2020 18:05,CA82509L1076,SHOP,Shopify,0.2,718.13,USD,1.12225,,128,
Market buy,12/06/2020 18:07,US90184L1026,TWTR,Twitter,5,32.71,USD,1.12241,,145.7,
Market buy,12/06/2020 18:09,US60770K1079,MRNA,Moderna,2.5,60.84,USD,1.12214,,135.5,
Market buy,12/06/2020 18:31,US1667641005,CVX,Chevron,10,91.14,USD,1.12262,,811.8,
Market sell,16/06/2020 18:18,US70614W1009,PTON,Peloton Interactive,10,50.83,USD,1.12665,2.08,451.2,0
Market buy,16/06/2020 18:24,US87165B1035,SYF,Synchrony Financial,10,25.19,USD,1.12633,,223.6,
Market buy,16/06/2020 18:27,US72919P2020,PLUG,Plug Power,60,5.51,USD,1.12631,,293.5,
Market sell,26/06/2020 17:54,CA82509L1076,SHOP,Shopify,0.3,914.14,USD,1.12333,2.28,244.1,0
Market buy,26/06/2020 18:01,US5801351017,MCD,McDonald's,1,180.27,USD,1.12291,,160.5,
Market buy,26/06/2020 18:02,US90184L1026,TWTR,Twitter,6,29.09,USD,1.12301,,155.4,
Market sell,26/06/2020 19:29,US6541101050,NKLA,Nikola Corporation,7,63.8,USD,1.12267,4.9,397.8,0.01
Market buy,26/06/2020 19:32,US87165B1035,SYF,Synchrony Financial,10,21.4,USD,1.12254,,190.6,
