OCC_CODE,OCC_TITLE,OCC_GROUP,TOT_EMP,EMP_PRSE,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
27-2011,Actors,detailed,"50,570",13.0,37.47,*,6.2,9.27,11.80,18.80,48.79,#,*,*,*,*,*,,TRUE
27-2031,Dancers,detailed,"10,030",7.5,18.14,*,3.0,8.56,9.35,14.44,23.04,33.03,*,*,*,*,*,,TRUE
27-2040,"Musicians, Singers, and Related Workers",broad,"58,630",2.3,31.70,*,2.1,9.32,14.91,24.08,39.20,60.79,*,*,*,*,*,,TRUE
27-2042,Musicians and Singers,detailed,"37,090",3.2,33.62,*,2.6,9.20,13.20,24.20,44.01,68.98,*,*,*,*,*,,TRUE
27-2090,"Miscellaneous Entertainers and Performers, Sports and Related Workers",broad,"14,570",16.1,22.71,*,4.1,8.89,10.50,17.64,26.90,36.35,*,*,*,*,*,,TRUE
27-2099,"Entertainers and Performers, Sports and Related Workers, All Other",detailed,"14,570",16.1,22.71,*,4.1,8.89,10.50,17.64,26.90,36.35,*,*,*,*,*,,TRUE
29-1061,Anesthesiologists,detailed,"29,220",4.9,124.09,"258,100",1.5,68.55,#,#,#,#,"142,590",#,#,#,#,,
29-1067,Surgeons,detailed,"41,600",3.0,119.00,"247,520",1.1,53.57,#,#,#,#,"111,420",#,#,#,#,,
29-1022,Oral and Maxillofacial Surgeons,detailed,"5,000",9.7,112.45,"233,900",3.2,40.99,85.05,#,#,#,"85,270","176,900",#,#,#,,
29-1064,Obstetricians and Gynecologists,detailed,"20,090",4.1,106.92,"222,400",1.9,41.32,75.77,#,#,#,"85,940","157,590",#,#,#,,
29-1023,Orthodontists,detailed,"5,410",8.6,106.44,"221,390",3.5,42.23,65.94,#,#,#,"87,830","137,150",#,#,#,,
29-1060,Physicians and Surgeons,broad,"642,720",0.9,97.33,"202,450",0.6,29.30,63.49,#,#,#,"60,940","132,070",#,#,#,,
29-1069,"Physicians and Surgeons, All Other",detailed,"322,740",1.3,95.05,"197,700",0.9,27.80,56.02,#,#,#,"57,820","116,510",#,#,#,,
29-1063,"Internists, General",detailed,"48,920",3.2,94.48,"196,520",1.9,30.06,56.42,#,#,#,"62,520","117,350",#,#,#,,
29-1066,Psychiatrists,detailed,"24,060",3.7,93.12,"193,680",2.0,28.57,61.37,#,#,#,"59,430","127,650",#,#,#,,
29-1062,Family and General Practitioners,detailed,"127,430",2.2,92.36,"192,120",1.1,31.55,62.77,88.65,#,#,"65,630","130,560","184,390",#,#,,
11-1010,Chief Executives,broad,"238,940",0.7,89.35,"185,850",0.4,32.98,53.38,84.19,#,#,"68,600","111,040","175,110",#,#,,
11-1011,Chief Executives,detailed,"238,940",0.7,89.35,"185,850",0.4,32.98,53.38,84.19,#,#,"68,600","111,040","175,110",#,#,,
29-1065,"Pediatricians, General",detailed,"28,660",3.6,88.07,"183,180",1.5,43.73,64.06,81.87,#,#,"90,950","133,250","170,300",#,#,,
29-1020,Dentists,broad,"116,750",1.5,85.16,"177,130",1.1,32.88,52.90,76.11,#,#,"68,400","110,040","158,310",#,#,,
29-1021,"Dentists, General",detailed,"100,080",1.7,82.86,"172,350",1.1,32.84,52.42,73.42,#,#,"68,310","109,030","152,700",#,#,,
29-1029,"Dentists, All Other Specialists",detailed,"5,550",10.4,82.23,"171,040",7.9,18.17,44.36,82.21,#,#,"37,800","92,270","171,000",#,#,,
